perf_date,Lasker Fund,LMR Multi-Strategy Fund Ltd,HG Vora Special Opportunities Fund,"BlackRock Strategic Equity HF Ltd, EUR",Golden Pine Feeder Fund,HG Vora Special Opportunities Fund
31/08/2013,-0.0059,0.0109,0.0032,-0.021558245,,0.0032
30/09/2013,0.0032,-0.0098,0.0072,0.012304975,,0.0072
31/10/2013,0.0362,0.0038,0.0095,0.023647313,,0.0095
30/11/2013,0.0308,-0.0048,0.01,0.053139161,,0.01
31/12/2013,0.0277,0.0079,0.028,0.033490518,,0.028
31/01/2014,0.0168,0.0039,0.017,0.036312781,,0.017
28/02/2014,0.01,-0.0011,0.029,0.042604931,,0.029
31/03/2014,-0.041,-0.008,-0.001,-0.015941142,,-0.001
30/04/2014,-0.0309,0.0108,-0.005,-0.057178495,,-0.005
31/05/2014,0.0207,0.0114,-0.002,0.0017611,,-0.002
30/06/2014,-0.0096,0.0144,0.011,0.005909015,,0.011
31/07/2014,-0.0253,0.0219,-0.004,-0.007171044,,-0.004
31/08/2014,0.0171,-0.0174,0,0.019208884,,0
30/09/2014,0.0103,0.0005,-0.006,0.025560924,,-0.006
31/10/2014,-0.0407,-0.0009,-0.024,0.030173597,,-0.024
30/11/2014,-0.0091,-0.0008,0.0036,0.031311855,,0.0036
31/12/2014,0.0044,-0.012,-0.0221,0.02263525,,-0.0221
31/01/2015,-0.0094,0.0074,0.0007,0.029504807,,0.0007
28/02/2015,0.0147,-0.0069,0.038800001,0.034456449,,0.038800001
31/03/2015,0.0033,0.0163,0.0418,0.043293651,,0.0418
30/04/2015,-0.0509,0.0048,0.0079,-0.01202973,,0.0079
31/05/2015,0.0282,0.0312,-0.011,0.036843543,,-0.011
30/06/2015,0.0064,-0.0082,-0.002,0.009499705,,-0.002
31/07/2015,0.0567,0.032,1.00E-04,0.062149793,,1.00E-04
31/08/2015,-0.0252,-0.0094,0.0022,-0.003792497,,0.0022
30/09/2015,-0.0075,0.0098,-0.0222,0.030422971,,-0.0222
31/10/2015,0.0339,0.0178,0.0309,0.015539428,,0.0309
30/11/2015,0.0172,0.0397,-0.0233,0.037572784,,-0.0233
31/12/2015,0.0167,0.0051,-0.0147,0.032405732,,-0.0147
31/01/2016,-0.0234,-0.0074,-0.0332,-0.023775578,,-0.0332
29/02/2016,-0.006,0.0117,0.0017,-0.044431383,,0.0017
31/03/2016,0.0032,0.009,0.035999999,-0.00889132,,0.035999999
30/04/2016,-0.0095,0.0003,0.0378,-0.016281753,,0.0378
31/05/2016,0.0416,0.0061,0.0056,0.035554642,,0.0056
30/06/2016,0.0118,0.0145,-0.0039,-0.0208894,,-0.0039
31/07/2016,0.0171,0.0074,0.0246,0.006331374,,0.0246
31/08/2016,0.0245,0.0066,0.0232,-0.004638085,,0.0232
30/09/2016,0.0221,0.0198,0.019,0.010025505,,0.019
31/10/2016,-0.0138,0.0025,0.0015,-0.042141969,,0.0015
30/11/2016,-0.0137,0.0105,0.0008,-0.006886934,,0.0008
31/12/2016,-0.0058,0.0101,0.0182,-0.001601073,,0.0182
31/01/2017,0.0007,0.0114,0.0157,0.041863199,,0.0157
28/02/2017,0.035,0.0067,0.0105,0.018341055,,0.0105
31/03/2017,0.0231,0.0021,0.0196,0.005002272,0.017216,0.0196
30/04/2017,0.0469,0.0046,0.0101,0.027113168,-0.010727319,0.0101
31/05/2017,0.0607,0.0011,0.0044,0.023540513,0.017979656,0.0044
30/06/2017,0.0162,0.0058,0.0153,-0.007556855,0.047914041,0.0153
31/07/2017,0.0373,0.0111,0.0041,0.017782195,0.042501956,0.0041
31/08/2017,0.0442,0.0019,0.0057,0.031877057,0.024795707,0.0057
30/09/2017,-0.0086,0.0154,0.0095,0.019069593,0.005883923,0.0095
31/10/2017,0.0651,0.009,0.0127,0.051165145,0.045910115,0.0127
30/11/2017,-0.0147,0.015,0.0047,-0.018411076,-0.018807125,0.0047
