,PC1_returns
28/02/2018,-2.40070813
30/03/2018,-1.12457468
30/04/2018,-0.04222916
31/05/2018,0.863479009
29/06/2018,-0.40220618
31/07/2018,0.839394046
31/08/2018,0.896946545
28/09/2018,-0.349008699
31/10/2018,-4.440725371
30/11/2018,0.074284244
31/12/2018,-5.153601493
31/01/2019,4.133180112
28/02/2019,1.470722952
29/03/2019,0.130542863
30/04/2019,1.3184638
31/05/2019,-3.67412093
28/06/2019,2.463921731
31/07/2019,0.159164833
30/08/2019,-1.366460113
30/09/2019,0.616123965
31/10/2019,1.064583478
29/11/2019,0.958318095
31/12/2019,1.14076205
31/01/2020,-0.935409385
28/02/2020,-4.085984114
31/03/2020,-8.937718942
30/04/2020,6.269176004
29/05/2020,1.988705278
30/06/2020,0.993662197
31/07/2020,2.156739622
31/08/2020,2.890956841
30/09/2020,-2.033225017
30/10/2020,-1.326897
30/11/2020,7.400785567
31/12/2020,2.238924558
29/01/2021,-0.555970074
26/02/2021,1.262038149
31/03/2021,0.893106854
30/04/2021,1.264994387
31/05/2021,0.031314873
30/06/2021,0.662083732
30/07/2021,-0.128182036
30/09/2021,-2.539810049
29/10/2021,2.093219296
30/11/2021,-1.923384749
31/12/2021,1.313935334
31/01/2022,-3.977045781
28/02/2022,-1.354530134
31/03/2022,0.397971635
29/04/2022,-4.33506826
31/05/2022,-0.785103974
30/06/2022,-4.908236902
29/07/2022,3.512470529
31/08/2022,-2.043103178
30/09/2022,-5.512391774
31/10/2022,3.571216958
30/11/2022,2.789007963
30/12/2022,-2.812204211
31/01/2023,3.85515027
28/02/2023,-1.546656814
31/03/2023,0.579669184
31/05/2023,-0.94383508
30/06/2023,2.806499551
31/07/2023,1.709242863
31/08/2023,-2.073233352
29/09/2023,-2.618069653
31/10/2023,-2.654191901
30/11/2023,4.1190858
29/12/2023,2.173985927
31/01/2024,-0.762025093
29/02/2024,1.713846456
29/03/2024,0.932935212
30/04/2024,-2.423725673
31/05/2024,1.94374423
28/06/2024,0.302721334
31/07/2024,1.297779977
30/08/2024,0.471473473
30/09/2024,0.424612912
31/10/2024,-1.043587791
29/11/2024,2.66847715
31/12/2024,-2.587296456
31/01/2025,1.141279648
28/02/2025,-0.813307232
31/03/2025,-2.827408483
30/04/2025,-0.346226768
30/05/2025,2.2003345
30/06/2025,1.586428648
